Formula,Formula units per cell,Atomic sites per cell,Crystal system,Formation energy (eV/atom),Energy relative to convex hull (eV/atom),Structure search,Averaged magnetic moment (μB/atom),"Magnetic polarization, Js</(T)",Magnetic easy axis,Magnetic anisotropy constants:Ka-c,Magnetic anisotropy constants:Kb-c (MJ/m3),Magnetic anisotropy constants:Kb-a (MJ/m3),Magnetic anisotropy constants:Kd-a (MJ/m3),"Curie temperature, TC(K)",Methods,References
Fe7Si,4,32,triclinic,-0.157,0.003,AGA search,1.82,1.88,.,.,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe8Si,4,36,triclinic,-0.134,0.008,AGA search,1.89,1.94,.,.,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
FeSi,1,2,hexagonal,-0.334,0.177,AGA search,0.35,0.36,c,0.74,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
FeSi,4,8,monoclinic,-0.42,0.092,AGA search,0,0,.,.,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe5Si4,4,36,monoclinic,-0.435,0.034,AGA search,0.25,0.28,.,.,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe7Si3,4,40,monoclinic,-0.329,0.029,AGA search,0.93,1,.,.,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe7Si3,4,40,monoclinic,-0.332,0.026,AGA search,0.9,0.97,.,.,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe7Si3,4,40,monoclinic,-0.34,0.018,AGA search,0.86,0.92,.,.,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe3Si,4,16,cubic,-0.32,0,AGA search,1.24,1.32,.,.,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe3Si,4,16,orthorhombic,-0.284,0.035,AGA search,1.17,1.24,a,-0.3,0.28,0.58,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe3Si,8,32,monoclinic,-0.285,0.035,AGA search,1.33,1.39,.,.,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe4Si,8,40,monoclinic,-0.23,0.026,AGA search,1.62,1.68,.,.,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe5Si,4,24,triclinic,-0.182,0.031,AGA search,1.73,1.79,.,.,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe5Si,4,24,monoclinic,-0.165,0.048,AGA search,1.74,1.79,.,.,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe5Si,4,24,monoclinic,-0.172,0.041,AGA search,1.71,1.77,.,.,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe6Si,4,28,triclinic,-0.163,0.02,AGA search,1.76,1.82,.,.,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe6Si,4,28,triclinic,-0.163,0.019,AGA search,1.8,1.85,.,.,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe6Si,4,28,monoclinic,-0.14,0.043,AGA search,1.75,1.81,.,.,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe7Si,4,32,triclinic,-0.149,0.011,AGA search,1.84,1.9,.,.,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe8Si,4,36,triclinic,-0.131,0.011,AGA search,1.86,1.92,.,.,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
CoN,4,8,cubic,0.085,0.085,AGA search,0,0,.,.,.,.,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
CoN,2,4,hexagonal,0.144,0.144,AGA search,0,0,.,.,.,.,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Co2N,2,6,orthorhombic,0.064,0.064,AGA search,0,0,.,.,.,.,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Co2N,4,12,orthorhombic,0.098,0.098,AGA search,0.34,0.4,a,-1.11,-0.14,0.96,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Co2N,2,6,triclinic,0.113,0.113,AGA search,0.14,0.18,.,.,.,.,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Co2N,2,6,triclinic,0.122,0.122,AGA search,0.18,0.23,.,.,.,.,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Co2N,2,6,orthorhombic,0.147,0.147,AGA search,0.32,0.42,c,0.21,0.38,0.17,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Co2N,2,6,orthorhombic,0.149,0.149,AGA search,0.52,0.65,b,0.03,-0.41,-0.43,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Co3N,6,24,trigonal,0.068,0.068,AGA search,0.67,0.81,c,0.86,.,.,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Co3N,2,8,hexagonal,0.069,0.069,AGA search,0.72,0.87,c,0.12,.,.,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Co3N,4,16,orthorhombic,0.097,0.097,AGA search,0.59,0.69,b,-0.89,-1.47,-0.58,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Co3N,4,16,orthorhombic,0.109,0.109,AGA search,1.01,1.19,b,-0.18,-1.78,-1.6,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Co3N,4,16,orthorhombic,0.109,0.109,AGA search,1.03,1.21,c,0.91,0.04,-0.87,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Co3N,4,16,monoclinic,0.124,0.124,AGA search,0.6,0.72,.,.,.,.,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Co3N,4,16,orthorhombic,0.127,0.127,AGA search,0.72,0.83,b,0.01,-0.75,-0.76,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Co3N,2,8,orthorhombic,0.135,0.135,AGA search,0.8,0.97,c,0.45,2.19,1.74,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Co4N,2,10,monoclinic,0.068,0.068,AGA search,0.93,1.09,a,-1.22,-0.68,0.54,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Co4N,4,20,monoclinic,0.072,0.072,AGA search,0.9,1.06,b,0.09,-0.12,-0.22,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Co4N,2,10,orthorhombic,0.078,0.078,AGA search,0.96,1.12,b,-0.1,-0.28,-0.18,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Co4N,1,5,cubic,0.075,0.075,AGA search,1.26,1.43,<111>,.,.,.,0,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Co4N,2,10,orthorhombic,0.08,0.08,AGA search,0.97,1.14,b,0.1,-1.24,-1.34,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Co4N,4,20,tetragonal,0.079,0.079,AGA search,1.26,1.43,c,2.1,.,.,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
Co4N,4,20,orthorhombic,0.079,0.079,AGA search,0.81,0.93,b,-0.01,-0.75,-0.74,.,.,DFT,https://doi.org/10.1103/PhysRevB.94.224424
