Refs.,PCE [%],initial PCE [%],PCE after 200 h test [%],PCE after 100 h test [%],PCE after 1000 h test [%],average visible transmittance [%],Absorber,Absorber blend,Absorber material,Inorganic absorber material,Absorber perovskite,Active material,Bottom material bandgap [eV],Bottom active absorber material,Bottom absorber material,conditions of stability tests,Dye sensitizer,Energy yield in 200 h [Wh cm-2],Energy yield in 1000 h [Wh cm-2],Bandgap [eV],Top material bandgap of tandem solar cell  [eV],Bottom absorber material bandgap [eV],middle and top material bandgap of multijunction solar cell  [eV],fill factor [%],Jsc [mA cm−2],Luminophore and absorber material of solar cell with luminescent concentrator,middle and top absorber material of multijunction solar cell,middle and top absorber of multijunction solar cell,Sensitizing dye,Top absorber material of tandem solar cell,Top absorber of tandem solar cell,Voc [mV]
"M. A. Green, E. D. Dunlop, J. Hohl-Ebinger, M. Yoshita, N. Kopidakis, A. W. Y. Ho-Baillie, Prog. Photovoltaics 2020, 28, 3.",25.2,,,,,,,,,, ,,,,,,,,,1.56,,,,84.8,24.1,,,,,,,1180
"E. H. Jung, N. J. Jeon, E. Y. Park, C. S. Moon, T. J. Shin, T.-Y. Yang, J. H. Noh, J. Seo, Nature 2019, 567, 511.",22.7,,,,,,,,,,(FAPbI3)0.95(MAPbBr3)0.05,,,,,,,,,1.56,,,,79.9,24.9,,,,,,,1145
"Q. Jiang, Z. Chu, P. Wang, X. Yang, H. Liu, Y. Wang, Z. Yin, J. Wu, X. Zhang, J. You, Adv. Mater. 2017, 29, 1703852.",20.9,,,,,,,,,,(FAPbI3)1−x(MAPbBr3)x,,,,,,,,,1.56,,,,78,24,,,,,,,1116
"Z. Chen, X. Zheng, F. Yao, J. Ma, C. Tao, G. Fang, J. Mater. Chem. A 2018, 6, 17625.",19.7,,,,,,,,,,(MA0.7FA0.3)0.97EDA0.015PbI3,,,,,,,,,1.56,,,,77.3,23.7,,,,,,,1075
"X. Zheng, Y. Hou, C. Bao, J. Yin, F. Yuan, Z. Huang, K. Song, J. Liu, J. Troughton, N. Gasparini, C. Zhou, Y. Lin, D.-J. Xue, B. Chen, A. K. Johnston, N. Wei, M. N. Hedhili, M. Wei, A. Y. Alsalloum, P. Maity, B. Turedi, C. Yang, D. Baran, T. D. Anthopoulos, Y. Han, Z.-H. Lu, O. F. Mohammed, F. Gao, E. H. Sargent, O. M. Bakr, Nat. Energy 2020, 5, 131.",23,,,,,,,,,,Cs0.05(FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,,,,,,,,,1.57,,,,81.6,24.1,,,,,,,1170
"X. Zheng, Y. Hou, C. Bao, J. Yin, F. Yuan, Z. Huang, K. Song, J. Liu, J. Troughton, N. Gasparini, C. Zhou, Y. Lin, D.-J. Xue, B. Chen, A. K. Johnston, N. Wei, M. N. Hedhili, M. Wei, A. Y. Alsalloum, P. Maity, B. Turedi, C. Yang, D. Baran, T. D. Anthopoulos, Y. Han, Z.-H. Lu, O. F. Mohammed, F. Gao, E. H. Sargent, O. M. Bakr, Nat. Energy 2020, 5, 131.",22.3,,,,,,,,,,Cs0.05(FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,,,,,,,,,1.57,,,,82,23.8,,,,,,,1143
"L. Meng, C. Sun, R. Wang, W. Huang, Z. Zhao, P. Sun, T. Huang, J. Xue, J.-W. Lee, C. Zhu, Y. Huang, Y. Li, Y. Yang, J. Am. Chem. Soc. 2018, 140, 17255.",20.6,,,,,,,,,,(FAPbI3)1−x(MAPbBr3)x,,,,,,,,,1.57,,,,80.5,22.8,,,,,,,1120
"J. J. Yoo, S. Wieghold, M. C. Sponseller, M. R. Chua, S. N. Bertram, N. T. P. Hartono, J. S. Tresback, E. C. Hansen, J.-P. Correa-Baena, V. Bulović, T. Buonassisi, S. S. Shin, M. G. Bawendi, Energy Environ. Sci. 2019, 12, 2192.",22.6,,,,,,,,,,(FAPbI3)0.92(MAPbBr3)0.08,,,,,,,,,1.58,,,,78.6,24.2,,,,,,,1186
"H. B. Lee, N. Kumar, M. M. Ovhal, Y. J. Kim, Y. M. Song, J.-W. Kang, Adv. Funct. Mater. 2020, 30, 2001559.",20.4,,,,,,,,,,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,,,,,,,,,1.58,,,,77.8,23.3,,,,,,,1125
"P. Cui, D. Wei, J. Ji, H. Huang, E. Jia, S. Dou, T. Wang, W. Wang, M. Li, Nat. Energy 2019, 4, 150.",21.9,,,,,,,,,,FA0.15MA0.85PbI3,,,,,,,,,1.58,,,,80.6,24.2,,,,,,,1120
"M. Li, Z.-K. Wang, M.-P. Zhuo, Y. Hu, K.-H. Hu, Q.-Q. Ye, S. M. Jain, Y.-G. Yang, X.-Y. Gao, L.-S. Liao, Adv. Mater. 2018, 30, 1800258.",21.1,,,,,,,,,,MAPb0.9Sn0.05Cu0.05I2.9Br0.1,,,,,,,,,1.59,,,,81,24,,,,,,,1086
"X. Zheng, B. Chen, J. Dai, Y. Fang, Y. Bai, Y. Lin, H. Wei, X. C. Zeng, J. Huang, Nat. Energy 2017, 2, 17102.",21,,,,,,,,,,FA0.85MA0.15Pb(I0.85Br0.15)3,,,,,,,,,1.59,,,,77.7,23.7,,,,,,,1140
"L. Wang, H. Zhou, J. Hu, B. Huang, M. Sun, B. Dong, G. Zheng, Y. Huang, Y. Chen, L. Li, Z. Xu, N. Li, Z. Liu, Q. Chen, L.-D. Sun, C.-H. Yan, Science 2019, 363, 265.",20.3,,,,,,,,,,MAPbI3−xClx,,,,,,,,,1.6,,,,77.4,23.2,,,,,,,1130
