Refs.,PCE [%],initial PCE [%],PCE after 200 h test [%],PCE after 100 h test [%],PCE after 1000 h test [%],average visible transmittance [%],Absorber,Absorber blend,Absorber material,Inorganic absorber material,Absorber perovskite,Active material,Bottom material bandgap [eV],Bottom active absorber material,Bottom absorber material,conditions of stability tests,Dye sensitizer,Energy yield in 200 h [Wh cm-2],Energy yield in 1000 h [Wh cm-2],Bandgap [eV],Top material bandgap of tandem solar cell  [eV],Bottom absorber material bandgap [eV],middle and top material bandgap of multijunction solar cell  [eV],fill factor [%],Jsc [mA cm−2],Luminophore and absorber material of solar cell with luminescent concentrator,middle and top absorber material of multijunction solar cell,middle and top absorber of multijunction solar cell,Sensitizing dye,Top absorber material of tandem solar cell,Top absorber of tandem solar cell,Voc [mV]
"M. Chen, M.-G. Ju, H. F. Garces, A. D. Carl, L. K. Ono, Z. Hawash, Y. Zhang, T. Shen, Y. Qi, R. L. Grimm, D. Pacifici, X. C. Zeng, Y. Zhou, N. P. Padture, Nat. Commun. 2019, 10, 16.",7.1,,,,,,,,,,MAPb(I0.74Br0.26)3,,,,,,,,,1.69,,,,63,10.4,,,,,,,936
"H. Tan, F. Che, M. Wei, Y. Zhao, M. I. Saidaminov, P. Todorović, D. Broberg, G. Walters, F. Tan, T. Zhuang, B. Sun, Z. Liang, H. Yuan, E. Fron, J. Kim, Z. Yang, O. Voznyy, M. Asta, E. H. Sargent, Nat. Commun. 2018, 9, 3100.",16.9,,,,,,,,,,Cs0.2FA0.8Pb(I0.75Br0.25)3,,,,,,,,,1.7,,,,71.5,20.2,,,,,,,1170
"M.-J. Wu, C.-C. Kuo, L.-S. Jhuang, P.-H. Chen, Y.-F. Lai, F.-C. Chen, Adv. Energy Mater. 2019, 9, 1901863.",12.5,,,,,,,,,,MA0.85Cs0.15Pb(I0.85Br0.15)3,,,,,,,,,1.71,,,,75.5,15.4,,,,,,,1070
"Y. Zhou, Y.-H. Jia, H.-H. Fang, M. A. Loi, F.-Y. Xie, L. Gong, M.-C. Qin, X.-H. Lu, C.-P. Wong, N. Zhao, Adv. Funct. Mater. 2018, 28, 1803130.",18.6,,,,,,,,,,FA0.17Cs0.83PbI2.2Br0.8,,,,,,,,,1.72,,,,77.9,19.2,,,,,,,1244
"D. P. McMeekin, G. Sadoughi, W. Rehman, G. E. Eperon, M. Saliba, M. T. Hörantner, A. Haghighirad, N. Sakai, L. Korte, B. Rech, M. B. Johnston, L. M. Herz, H. J. Snaith, Science 2016, 351, 151.",17.1,,,,,,,,,,FA0.83Cs0.17Pb(I0.6Br0.4)3,,,,,,,,,1.72,,,,73.5,19.4,,,,,,,1200
"T. Duong, H. Pham, T. C. Kho, P. Phang, K. C. Fong, D. Yan, Y. Yin, J. Peng, M. A. Mahmud, S. Gharibzadeh, B. A. Nejand, I. M. Hossain, M. R. Khan, N. Mozaffari, Y. Wu, H. Shen, J. Zheng, H. Mai, W. Liang, C. Samundsett, M. Stocks, K. McIntosh, G. G. Andersson, U. Lemmer, B. S. Richards, U. W. Paetzold, A. Ho-Ballie, Y. Liu, D. Macdonald, A. Blakers, J. Wong-Leung, T. White, K. Weber, K. Catchpole, Adv. Energy Mater. 2020, 10, 1903553.",18.3,,,,,,,,,,Rb0.05Cs0.095MA0.1425FA0.7125PbI2Br,,,,,,,,,1.74,,,,76.3,18.9,,,,,,,1269
"S. Gharibzadeh, B. Abdollahi Nejand, M. Jakoby, T. Abzieher, D. Hauschild, S. Moghadamzadeh, J. A. Schwenzer, P. Brenner, R. Schmager, A. A. Haghighirad, L. Weinhardt, U. Lemmer, B. S. Richards, I. A. Howard, U. W. Paetzold, Adv. Energy Mater. 2019, 9, 1803699.",19.8,,,,,,,,,,FA0.83Cs0.17Pb(I0.6Br0.4)3,,,,,,,,,1.75,,,,78,19.4,,,,,,,1310
"Y. Lin, B. Chen, F. Zhao, X. Zheng, Y. Deng, Y. Shao, Y. Fang, Y. Bai, C. Wang, J. Huang, Adv. Mater. 2017, 29, 1700607.",18.5,,,,,,,,,,(FA0.83MA0.17)0.95Cs0.05Pb(I0.6Br0.4)3,,,,,,,,,1.76,,,,76.4,20,,,,,,,1210
"Q. Ye, Y. Zhao, S. Mu, F. Ma, F. Gao, Z. Chu, Z. Yin, P. Gao, X. Zhang, J. You, Adv. Mater. 2019, 31, 1905143.",18.6,,,,,,,,,,CsPbI3−xBrx,,,,,,,,,1.77,,,,82.5,18.3,,,,,,,1234
"H. Tan, F. Che, M. Wei, Y. Zhao, M. I. Saidaminov, P. Todorović, D. Broberg, G. Walters, F. Tan, T. Zhuang, B. Sun, Z. Liang, H. Yuan, E. Fron, J. Kim, Z. Yang, O. Voznyy, M. Asta, E. H. Sargent, Nat. Commun. 2018, 9, 3100.",15.7,,,,,,,,,,Cs0.17FA0.83Pb(I0.6Br0.4)3,,,,,,,,,1.78,,,,70.5,18.4,,,,,,,1210
"H. Tan, F. Che, M. Wei, Y. Zhao, M. I. Saidaminov, P. Todorović, D. Broberg, G. Walters, F. Tan, T. Zhuang, B. Sun, Z. Liang, H. Yuan, E. Fron, J. Kim, Z. Yang, O. Voznyy, M. Asta, E. H. Sargent, Nat. Commun. 2018, 9, 3100.",19,,,,,,,,,,Cs0.12MA0.05FA0.83Pb(I0.6Br0.4)3,,,,,,,,,1.79,,,,80,19,,,,,,,1250
"Y. Zhou, Y.-H. Jia, H.-H. Fang, M. A. Loi, F.-Y. Xie, L. Gong, M.-C. Qin, X.-H. Lu, C.-P. Wong, N. Zhao, Adv. Funct. Mater. 2018, 28, 1803130.",16.5,,,,,,,,,,FA0.17Cs0.83PbI1.8Br1.2,,,,,,,,,1.79,,,,74.8,17.2,,,,,,,1284
"X. Hu, X.-F. Jiang, X. Xing, L. Nian, X. Liu, R. Huang, K. Wang, H.-L. Yip, G. Zhou, Sol. RRL 2018, 2, 1800083.",13.7,,,,,,,,,,MAPbBrI2,,,,,,,,,1.8,,,,75,14.4,,,,,,,1272
"Z. Yang, Z. Yu, H. Wei, X. Xiao, Z. Ni, B. Chen, Y. Deng, S. N. Habisreutinger, X. Chen, K. Wang, J. Zhao, P. N. Rudd, J. J. Berry, M. C. Beard, J. Huang, Nat. Commun. 2019, 10, 4498.",16.3,,,,,,,,,,FA0.6Cs0.4Pb(I0.65Br0.35)3,,,,,,,,,1.81,,,,78.6,17,,,,,,,1220
"Y.-N. Zhang, B. Li, L. Fu, Y. Zou, Q. Li, L.-W. Yin, Sol. Energy Mater. Sol. Cells 2019, 194, 168.",17.1,,,,,,,,,,FAPbI1.5Br1.5/CsPbI1.5Br1.5,,,,,,,,,1.82,,,,74,21,,,,,,,1100
"M. Chen, M.-G. Ju, A. D. Carl, Y. Zong, R. L. Grimm, J. Gu, X. C. Zeng, Y. Zhou, N. P. Padture, Joule 2018, 2, 558.",3.3,,,,,,,,,,Cs2TiBr6,,,,,,,,,1.83,,,,56.9,5.7,,,,,,,1020
"M.-J. Wu, C.-C. Kuo, L.-S. Jhuang, P.-H. Chen, Y.-F. Lai, F.-C. Chen, Adv. Energy Mater. 2019, 9, 1901863.",8.6,,,,,,,,,,MA0.85Cs0.15Pb(I0.65Br0.35)3,,,,,,,,,1.83,,,,68.4,11.3,,,,,,,1110
"W.-Q. Wu, Z. Yang, P. N. Rudd, Y. Shao, X. Dai, H. Wei, J. Zhao, Y. Fang, Q. Wang, Y. Liu, Y. Deng, X. Xiao, Y. Feng, J. Huang, Sci. Adv. 2019, 5, eaav8925.",15.2,,,,,,,,,,Cs0.2FA0.8Pb(I0.6Br0.4)3-DAP,,,,,,,,,1.84,,,,77.3,15.6,,,,,,,1260
"Y. Zhou, Y.-H. Jia, H.-H. Fang, M. A. Loi, F.-Y. Xie, L. Gong, M.-C. Qin, X.-H. Lu, C.-P. Wong, N. Zhao, Adv. Funct. Mater. 2018, 28, 1803130.",15,,,,,,,,,,FA0.17Cs0.83PbI1.5Br1.5,,,,,,,,,1.85,,,,74.2,15.6,,,,,,,1296
"J. Zhang, Z. Wang, A. Mishra, M. Yu, M. Shasti, W. Tress, D. J. Kubicki, C. E. Avalos, H. Lu, Y. Liu, B. I. Carlsen, A. Agarwalla, Z. Wang, W. Xiang, L. Emsley, Z. Zhang, M. Grätzel, W. Guo, A. Hagfeldt, Joule 2020, 4, 222.",17,,,,,,,,,,CsPb(I0.75Br0.25)3-0.5FAOAc,,,,,,,,,1.86,,,,79.8,15.9,,,,,,,1340
"W. Xiang, Z. Wang, D. J. Kubicki, X. Wang, W. Tress, J. Luo, J. Zhang, A. Hofstetter, L. Zhang, L. Emsley, M. Grätzel, A. Hagfeldt, Nat. Commun. 2019, 10, 4686.",14,,,,,,,,,,CsPb0.8Ba0.2I2Br,,,,,,,,,1.87,,,,78.1,14,,,,,,,1280
"W. Xiang, Z. Wang, D. J. Kubicki, W. Tress, J. Luo, D. Prochowicz, S. Akin, L. Emsley, J. Zhou, G. Dietler, M. Grätzel, A. Hagfeldt, Joule 2019, 3, 205.",13.7,,,,,,,,,,CsPb0.95Eu0.05I2Br,,,,,,,,,1.87,,,,76.8,14.6,,,,,,,1220
"S. Yang, H. Zhao, Y. Han, C. Duan, Z. Liu, S. Liu, Small 2019, 15, 1904387.",15.3,,,,,,,,,,CsPbI2Br,,,,,,,,,1.88,,,,79,15.4,,,,,,,1250
"H. Zhao, Y. Han, Z. Xu, C. Duan, S. Yang, S. Yuan, Z. Yang, Z. Liu, S. Liu, Adv. Energy Mater. 2019, 9, 1902279.",15.6,,,,,,,,,,CsPbI2−xBr(A x,,,,,,,,,1.89,,,,78.3,15.3,,,,,,,1300
"C. Duan, J. Cui, M. Zhang, Y. Han, S. Yang, H. Zhao, H. Bian, J. Yao, K. Zhao, Z. Liu, S. Liu, Adv. Energy Mater. 2020, 10, 2000691.",16.1,,,,,,,,,,CsPbI2Br,,,,,,,,,1.9,,,,79.7,15.3,,,,,,,1320
"Y. Zhou, Y.-H. Jia, H.-H. Fang, M. A. Loi, F.-Y. Xie, L. Gong, M.-C. Qin, X.-H. Lu, C.-P. Wong, N. Zhao, Adv. Funct. Mater. 2018, 28, 1803130.",14.4,,,,,,,,,,FA0.17Cs0.83PbI1.2Br1.8,,,,,,,,,1.91,,,,70.1,15.6,,,,,,,1312
"H. Bian, D. Bai, Z. Jin, K. Wang, L. Liang, H. Wang, J. Zhang, Q. Wang, S. Liu, Joule 2018, 2, 1500.",13.5,,,,,,,,,,CsPbI2Br,,,,,,,,,1.91,,,,79.9,14.3,,,,,,,1177
"K. M. Boopathi, P. Karuppuswamy, A. Singh, C. Hanmandlu, L. Lin, S. A. Abbas, C. C. Chang, P. C. Wang, G. Li, C. W. Chu, J. Mater. Chem. A 2017, 5, 20843.",2,,,,,,,,,,MA3Sb2I9+HI,,,,,,,,,1.91,,,,60.8,5.4,,,,,,,620
"I. Turkevych, S. Kazaoui, E. Ito, T. Urano, K. Yamada, H. Tomiyasu, H. Yamagishi, M. Kondo, S. Aramaki, ChemSusChem 2017, 10, 3754.",4.3,,,,,,,,,,Ag3BiI6,,,,,,,,,1.94,,,,63.8,10.7,,,,,,,630
"B. Ghosh, B. Wu, X. Guo, P. C. Harikesh, R. A. John, T. Baikie, Arramel, A. T. S. Wee, C. Guet, T. C. Sum, S. Mhaisalkar, N. Mathews, Adv. Energy Mater. 2018, 8, 1802051.",2.2,,,,,,,,,,AgBiI4,,,,,,,,,1.94,,,,62.7,5.2,,,,,,,670
"B. Ghosh, B. Wu, X. Guo, P. C. Harikesh, R. A. John, T. Baikie, Arramel, A. T. S. Wee, C. Guet, T. C. Sum, S. Mhaisalkar, N. Mathews, Adv. Energy Mater. 2018, 8, 1802051.",2.6,,,,,,,,,,AgBiI5,,,,,,,,,1.95,,,,62.4,6,,,,,,,690
"B.-W. Park, B. Philippe, X. Zhang, H. Rensmo, G. Boschloo, E. M. J. Johansson, Adv. Mater. 2015, 27, 6806.",1.1,,,,,,,,,,Cs3Bi2I9,,,,,,,,,1.97,,,,59.6,2.2,,,,,,,850
"J. Liang, P. Zhao, C. Wang, Y. Wang, Y. Hu, G. Zhu, L. Ma, J. Liu, Z. Jin, J. Am. Chem. Soc. 2017, 139, 14009.",8.3,,,,,,,,,,CsPbIBr2,,,,,,,,,1.98,,,,62,12.3,,,,,,,1080
"D. Forgács, L. Gil-Escrig, D. Pérez-Del-Rey, C. Momblona, J. Werner, B. Niesen, C. Ballif, M. Sessolo, H. J. Bolink, Adv. Energy Mater. 2017, 7, 1602121.",9.6,,,,,,,,,,Cs0.15FA0.85Pb(I0.3Br0.7)3,,,,,,,,,2,,,,72.3,11.2,,,,,,,1185
"S. A. Kulkarni, T. Baikie, P. P. Boix, N. Yantara, N. Mathews, S. Mhaisalkar, J. Mater. Chem. A 2014, 2, 9221.",2.8,,,,,,,,,,MAPb(I0.41Br0.59)3,,,,,,,,,2.03,,,,52.7,6.4,,,,,,,836
"Q. Xue, G. Chen, M. Liu, J. Xiao, Z. Chen, Z. Hu, X.-F. Jiang, B. Zhang, F. Huang, W. Yang, H.-L. Yip, Y. Cao, Adv. Energy Mater. 2016, 6, 1502021.",10.3,,,,,,,,,,MAPb(I0.3Br0.7)xCl3−x(Br),,,,,,,,,2.04,,,,79.2,9.7,,,,,,,1340
"Y. Zhao, A. M. Nardes, K. Zhu, Faraday Discuss. 2014, 176, 301.",6.1,,,,,,,,,,MAPbIBr2,,,,,,,,,2.05,,,,77.1,5.4,,,,,,,1450
"H. Wang, S. Cao, B. Yang, H. Li, M. Wang, X. Hu, K. Sun, Z. Zang, Sol. RRL 2020, 4, 1900363.",10.2,,,,,,,,,,CsPbIBr2,,,,,,,,,2.09,,,,69.4,11.5,,,,,,,1270
"W. Zhu, Z. Zhang, W. Chai, Q. Zhang, D. Chen, Z. Lin, J. Chang, J. Zhang, C. Zhang, Y. Hao, ChemSusChem 2019, 12, 2318.",10.7,,,,,,,,,,CsPbIBr2,,,,,,,,,2.1,,,,72,11.8,,,,,,,1261
"B. Zhang, W. Bi, Y. Wu, C. Chen, H. Li, Z. Song, Q. Dai, L. Xu, H. Song, ACS Appl. Mater. Interfaces 2019, 11, 33868.",9.2,,,,,,,,,,GAI-DEE-CsPbIBr2,,,,,,,,,2.11,,,,74.6,10.2,,,,,,,1200
"R. Nie, A. Mehta, B.-w. Park, H.-W. Kwon, J. Im, S. I. Seok, J. Am. Chem. Soc. 2018, 140, 872.",3.1,,,,,,,,,,MASbSI2,,,,,,,,,2.14,,,,58.4,8.1,,,,,,,650
"T. Bu, X. Liu, R. Chen, Z. Liu, K. Li, W. Li, Y. Peng, Z. Ku, F. Huang, Y.-B. Cheng, J. Zhong, J. Mater. Chem. A 2018, 6, 6319.",4.4,,,,,,,,,,(FA0.85MA0.15Pb(I0.85Br0.15)3) R = 0.7,,,,,,,,,2.15,,,,64.8,6.3,,,,,,,1084
"T. Bu, X. Liu, R. Chen, Z. Liu, K. Li, W. Li, Y. Peng, Z. Ku, F. Huang, Y.-B. Cheng, J. Zhong, J. Mater. Chem. A 2018, 6, 6319.",2,,,,,,,,,,(FA0.85MA0.15Pb(I0.85Br0.15)3) R = 0.56,,,,,,,,,2.19,,,,69.5,3,,,,,,,1051
"F. Umar, J. Zhang, Z. Jin, I. Muhammad, X. Yang, H. Deng, K. Jahangeer, Q. Hu, H. Song, J. Tang, Adv. Opt. Mater. 2019, 7, 1801368.",1.2,,,,,,,,,,Cs3Sb2I9,,,,,,,,,2.2,,,,55.9,3.6,,,,,,,610
"Y. Zhang, Y. Liang, Y. Wang, F. Guo, L. Sun, D. Xu, ACS Energy Lett. 2018, 3, 1808.",10.6,,,,,,,,,,FAPbBr3,,,,,,,,,2.27,,,,76.5,8.9,,,,,,,1552
"J. Duan, Y. Zhao, B. He, Q. Tang, Angew. Chem., Int. Ed. 2018, 57, 3787.",9.7,,,,,,,,,,CsPbBr3,,,,,,,,,2.31,,,,81.9,8.12,,,,,,,1458
"X. Hu, X.-F. Jiang, X. Xing, L. Nian, X. Liu, R. Huang, K. Wang, H.-L. Yip, G. Zhou, Sol. RRL 2018, 2, 1800083.",10.1,,,,,,,,,,MAPbBr3,,,,,,,,,2.32,,,,79.1,7.72,,,,,,,1653
"G. Liao, J. Duan, Y. Zhao, Q. Tang, Sol. Energy 2018, 171, 279.",8.2,,,,,,,,,,CsPbBr3,,,,,,,,,2.33,,,,76.1,7.3,,,,,,,1470
"J. Zhu, B. He, Z. Gong, Y. Ding, W. Zhang, X. Li, Z. Zong, H. Chen, Q. Tang, ChemSusChem 2020, 13, 1834.",9.7,,,,,,,,,,CsPbBr3,,,,,,,,,2.34,,,,82.8,7.4,,,,,,,1584
"Y. Zhao, J. Duan, Y. Wang, X. Yang, Q. Tang, Nano Energy 2020, 67, 104286.",10.7,,,,,,,,,,CsPbBr3,,,,,,,,,2.35,,,,83.5,7.9,,,,,,,1622
"Y. Zhao, J. Duan, H. Yuan, Y. Wang, X. Yang, B. He, Q. Tang, Sol. RRL 2019, 3, 1800284.",10.6,,,,,,,,,,CsSnBr3,,,,,,,,,2.35,,,,84.4,7.8,,,,,,,1610
"C. H. Ng, T. S. Ripolles, K. Hamada, S. H. Teo, H. N. Lim, J. Bisquert, S. Hayase, Sci. Rep. 2018, 8, 2482.",4,,,,,,,,,,CsPbBr2.9I0.1,,,,,,,,,2.36,,,,63.6,5.5,,,,,,,1130
"F. Jiang, D. Yang, Y. Jiang, T. Liu, X. Zhao, Y. Ming, B. Luo, F. Qin, J. Fan, H. Han, L. Zhang, Y. Zhou, J. Am. Chem. Soc. 2018, 140, 1019.",2.2,,,,,,,,,,MA3Sb2ClxI9−x,,,,,,,,,2.37,,,,63.5,5,,,,,,,690
"X. Wan, Z. Yu, W. Tian, F. Huang, S. Jin, X. Yang, Y.-B. Cheng, A. Hagfeldt, L. Sun, J. Energy Chem. 2020, 46, 8.",8.1,,,,,,,,,,CsPbBr3,,,,,,,,,2.38,,,,78.8,6.9,,,,,,,1490
"Y. Zhao, H. Xu, Y. Wang, X. Yang, J. Duan, Q. Tang, J. Power Sources 2019, 440, 227151.",10.3,,,,,,,,,,Cs0.91Rb0.09PbBr3,,,,,,,,,2.39,,,,80,8.2,,,,,,,1580
"M. Safdari, P. H. Svensson, M. T. Hoang, I. Oh, L. Kloo, J. M. Gardner, J. Mater. Chem. A 2016, 4, 15638.",1.1,,,,,,,,,,BdAPbI4,,,,,,,,,2.42,,,,43,2.9,,,,,,,870
"G. Murugadoss, R. Thangamuthu, S. M. Senthil Kumar, N. Anandhan, M. Rajesh Kumar, A. Rathishkumar, J. Alloys Compd. 2019, 787, 17.",2.8,,,,,,,,,,CsPb2Br5,,,,,,,,,2.43,,,,60.3,5.7,,,,,,,820
"L. Zuo, X. Shi, W. Fu, A. K.-Y. Jen, Adv. Mater. 2019, 31, 1901683.",2.4,,,,,,,,,,FAPbBr2.1Cl0.9,,,,,,,,,2.44,,,,60.9,3.4,,,,,,,1140
"E. Greul, M. L. Petrus, A. Binek, P. Docampo, T. Bein, J. Mater. Chem. A 2017, 5, 19972.",1.7,,,,,,,,,,Cs2AgBiBr6,,,,,,,,,2.46,,,,40.2,3.9,,,,,,,1060
"L. Zuo, X. Shi, W. Fu, A. K.-Y. Jen, Adv. Mater. 2019, 31, 1901683.",1.4,,,,,,,,,,FAPbBr2Cl,,,,,,,,,2.48,,,,52,2.5,,,,,,,1060
"K.-W. Seo, J. Lee, J. Jo, C. Cho, J.-Y. Lee, Adv. Mater. 2019, 31, 1902447.",10.6,,,,,,,PTB7-Th:IEICO-4F,,,,,,,,,,,,1.32,,,,63.2,24.3,,,,,,,690
"X. Song, N. Gasparini, L. Ye, H. Yao, J. Hou, H. Ade, D. Baran, ACS Energy Lett. 2018, 3, 669.",12.8,,,,,,,PTB7-Th:IEICO-4F,,,,,,,,,,,,1.34,,,,65.9,27.3,,,,,,,712
"X. Song, N. Gasparini, M. M. Nahid, S. H. K. Paleti, C. Li, W. Li, H. Ade, D. Baran, Adv. Funct. Mater. 2019, 29, 1902441.",9.7,,,,,,,PBDTT-DPP:IEICO-4F,,,,,,,,,,,,1.34,,,,70.2,19.8,,,,,,,695
"L. Ma, Y. Xu, Y. Zu, Q. Liao, B. Xu, C. An, S. Zhang, J. Hou, Sci. China Chem. 2020, 63, 21.",14.3,,,,,,,PBDB-T-2Cl:BTP-4F:PC61BM,,,,,,,,,,,,1.35,,,,66.5,26.8,,,,,,,802
"S. Liu, J. Yuan, W. Deng, M. Luo, Y. Xie, Q. Liang, Y. Zou, Z. He, H. Wu, Y. Cao, Nat. Photonics 2020, 14, 300.",15.9,,,,,,,PM6:Y11,,,,,,,,,,,,1.36,,,,74.1,25.4,,,,,,,846
"J. Yuan, Y. Zhang, L. Zhou, G. Zhang, H.-L. Yip, T.-K. Lau, X. Lu, C. Zhu, H. Peng, P. A. Johnson, M. Leclerc, Y. Cao, J. Ulanski, Y. Li, Y. Zou, Joule 2019, 3, 1140.",13.6,,,,,,,PM6:Y6,,,,,,,,,,,,1.37,,,,62.6,26.5,,,,,,,820
"Y. Cui, H. Yao, J. Zhang, K. Xian, T. Zhang, L. Hong, Y. Wang, Y. Xu, K. Ma, C. An, C. He, Z. Wei, F. Gao, J. Hou, Adv. Mater. 2020, 32, 1908205.",17.3,,,,,,,PBDB-TF:BTP-eC9,,,,,,,,,,,,1.38,,,,78.5,26.2,,,,,,,841
"Q. Liu, Y. Jiang, K. Jin, J. Qin, J. Xu, W. Li, J. Xiong, J. Liu, Z. Xiao, K. Sun, S. Yang, X. Zhang, L. Ding, Sci. Bull. 2020, 65, 272.",18.2,,,,,,,D18:Y6,,,,,,,,,,,,1.39,,,,76.6,27.7,,,,,,,859
"Y. Cui, H. Yao, L. Hong, T. Zhang, Y. Tang, B. Lin, K. Xian, B. Gao, C. An, P. Bi, W. Ma, J. Hou, Natl. Sci. Rev. 2019, 7, 1239.",17,,,,,,,PBDB-TF:BTP-4Cl-12,,,,,,,,,,,,1.39,,,,25.5,77.6,,,,,,,858
"Z. Zhou, W. Liu, G. Zhou, M. Zhang, D. Qian, J. Zhang, S. Chen, S. Xu, C. Yang, F. Gao, H. Zhu, F. Liu, X. Zhu, Adv. Mater. 2020, 32, 1906324.",16.6,,,,,,,PBDB-TF:AQx-2,,,,,,,,,,,,1.39,,,,76.3,25.4,,,,,,,860
"Y. Lin, B. Adilbekova, Y. Firdaus, E. Yengel, H. Faber, M. Sajjad, X. Zheng, E. Yarali, A. Seitkhan, O. M. Bakr, A. El-Labban, U. Schwingenschlögl, V. Tung, I. McCulloch, F. Laquai, T. D. Anthopoulos, Adv. Mater. 2019, 31, 1902965.",17,,,,,,,PBDB-T-2F:Y6:PC71BM,,,,,,,,,,,,1.4,,,,77.8,26,,,,,,,840
"L. Liu, Y. Kan, K. Gao, J. Wang, M. Zhao, H. Chen, C. Zhao, T. Jiu, A.-K.-Y. Jen, Y. Li, Adv. Mater. 2020, 32, 1907604.",17.1,,,,,,,PM6:Y6,,,,,,,,,,,,1.4,,,,77.6,26.4,,,,,,,834
"Y. Cui, H. Yao, J. Zhang, T. Zhang, Y. Wang, L. Hong, K. Xian, B. Xu, S. Zhang, J. Peng, Z. Wei, F. Gao, J. Hou, Nat. Commun. 2019, 10, 2515.",16.5,,,,,,,PBDB-TF:BTP-4Cl,,,,,,,,,,,,1.4,,,,75,25.4,,,,,,,867
"M. A. Green, E. D. Dunlop, J. Hohl-Ebinger, M. Yoshita, N. Kopidakis, A. W. Y. Ho-Baillie, Prog. Photovoltaics 2020, 28, 3.",17.4,,,,,,, ,,,,,,,,,,,,1.41,,,,77.9,25.8,,,,,,,862
"Y. Cui, H. Yao, J. Zhang, T. Zhang, Y. Wang, L. Hong, K. Xian, B. Xu, S. Zhang, J. Peng, Z. Wei, F. Gao, J. Hou, Nat. Commun. 2019, 10, 2515.",15.6,,,,,,,PBDB-TF:BTP-4F,,,,,,,,,,,,1.42,,,,75.1,24.9,,,,,,,834
"M. A. Green, E. D. Dunlop, D. H. Levi, J. Hohl-Ebinger, M. Yoshita, A. W. Y. Ho-Baillie, Prog. Photovoltaics 2019, 27, 565.",15.6,,,,,,, ,,,,,,,,,,,,1.42,,,,74.4,25,,,,,,,838
"Q. Guo, J. Lin, H. Liu, X. Dong, X. Guo, L. Ye, Z. Ma, Z. Tang, H. Ade, M. Zhang, Y. Li, Nano Energy 2020, 74, 104861.",14.3,,,,,,,PM6:IDST-4F,,,,,,,,,,,,1.43,,,,70,24.9,,,,,,,820
"H. Lai, Q. Zhao, Z. Chen, H. Chen, P. Chao, Y. Zhu, Y. Lang, N. Zhen, D. Mo, Y. Zhang, F. He, Joule 2020, 4, 688.",13.6,,,,,,,PBDB-TF:BTIC-F-m,,,,,,,,,,,,1.44,,,,69.1,21.4,,,,,,,920
"K. Jiang, Q. Wei, J. Y. L. Lai, Z. Peng, H. K. Kim, J. Yuan, L. Ye, H. Ade, Y. Zou, H. Yan, Joule 2019, 3, 3020.",12.9,,,,,,,PM6:N-C11,,,,,,,,,,,,1.46,,,,70.6,21.5,,,,,,,852
"J. Gao, W. Gao, X. Ma, Z. Hu, C. Xu, X. Wang, Q. An, C. Yang, X. Zhang, F. Zhang, Energy Environ. Sci. 2020, 13, 958.",14.6,,,,,,,PBDB-T-2Cl:BP-4F:MF1,,,,,,,,,,,,1.47,,,,71.7,23.1,,,,,,,882
"C. e. Zhang, P. Jiang, X. Zhou, H. Liu, Q. Guo, X. Xu, Y. Liu, Z. Tang, W. Ma, Z. Bo, J. Mater. Chem. A 2020, 8, 2123.",12.4,,,,,,,PBDB-T:IDT-EDOT:PC71BM,,,,,,,,,,,,1.48,,,,67.7,20.8,,,,,,,880
"T.-W. Chen, K.-L. Peng, Y.-W. Lin, Y.-J. Su, K.-J. Ma, L. Hong, C.-C. Chang, J. Hou, C.-S. Hsu, J. Mater. Chem. A 2020, 8, 1131.",15.4,,,,,,,PM6:DTTC-4Cl,,,,,,,,,,,,1.5,,,,74.1,22.6,,,,,,,920
"J.-L. Wang, K.-K. Liu, L. Hong, G.-Y. Ge, C. Zhang, J. Hou, ACS Energy Lett. 2018, 3, 2967.",13.3,,,,,,,PM6:SeTlC4Cl-DIO,,,,,,,,,,,,1.51,,,,75,22.9,,,,,,,780
"C. e. Zhang, P. Jiang, X. Zhou, H. Liu, Q. Guo, X. Xu, Y. Liu, Z. Tang, W. Ma, Z. Bo, J. Mater. Chem. A 2020, 8, 2123.",10.4,,,,,,,PBDB-T:IDT-EDOT:PC71BM,,,,,,,,,,,,1.52,,,,68,18,,,,,,,850
"J.-L. Wang, K.-K. Liu, L. Hong, G.-Y. Ge, C. Zhang, J. Hou, ACS Energy Lett. 2018, 3, 2967.",10.7,,,,,,,PM6:SeTlC4Cl,,,,,,,,,,,,1.53,,,,56.7,22.2,,,,,,,850
"Z. Zhou, S. Xu, J. Song, Y. Jin, Q. Yue, Y. Qian, F. Liu, F. Zhang, X. Zhu, Nat. Energy 2018, 3, 952.",13.6,,,,,,,BTR:NITI:PC71BM,,,,,,,,,,,,1.54,,,,73.8,19.5,,,,,,,940
"Y.-X. Zhang, J. Fang, W. Li, Y. Shen, J.-D. Chen, Y. Li, H. Gu, S. Pelivani, M. Zhang, Y. Li, J.-X. Tang, ACS Nano 2019, 13, 4686.",12,,,,,,,PM6:IT-4F,,,,,,,,,,,,1.55,,,,73.3,19.5,,,,,,,840
"G. Zeng, J. Zhang, X. Chen, H. Gu, Y. Li, Y. Li, Sci. China Chem. 2019, 62, 851.",12.1,,,,,,,PBDB-T-2F:IT-4F,,,,,,,,,,,,1.56,,,,70.1,20.9,,,,,,,826
